iso3,NAME_2,cod_local,anio,sexo,zona,valor
COL,El Porvenir,NA,2017,Mujeres,rural,0.7951
COL,El Porvenir,NA,2017,Total,rural,0.7657
COL,El Porvenir,NA,2018,Hombres,rural,0.7375
COL,El Porvenir,NA,2018,Mujeres,rural,0.7975
COL,El Porvenir,NA,2018,Total,rural,0.7681
COL,El Porvenir,NA,2019,Hombres,rural,0.7359
COL,El Porvenir,NA,2019,Mujeres,rural,0.7959
COL,El Porvenir,NA,2019,Total,rural,0.7665
COL,El Porvenir,NA,2020,Hombres,rural,0.7963
COL,El Porvenir,NA,2020,Mujeres,rural,0.8563
COL,El Porvenir,NA,2020,Total,rural,0.8269
COL,El Porvenir,NA,2021,Hombres,rural,0.7811
COL,El Porvenir,NA,2021,Mujeres,rural,0.8411
COL,El Porvenir,NA,2021,Total,rural,0.8118
COL,El Porvenir,NA,2022,Hombres,rural,0.7568
COL,El Porvenir,NA,2022,Mujeres,rural,0.8168
COL,El Porvenir,NA,2022,Total,rural,0.7874
COL,El Porvenir,NA,2023,Hombres,rural,0.7316
COL,El Porvenir,NA,2023,Mujeres,rural,0.7916
COL,El Porvenir,NA,2023,Total,rural,0.7622
COL,El Porvenir,NA,2024,Hombres,rural,0.734
COL,El Porvenir,NA,2024,Mujeres,rural,0.794
COL,El Porvenir,NA,2024,Total,rural,0.7646
COL,El Porvenir,NA,2025,Hombres,rural,0.7315
COL,El Porvenir,NA,2025,Mujeres,rural,0.7915
COL,El Porvenir,NA,2025,Total,rural,0.7621
COL,La Alameda,NA,2016,Hombres,rural,0.7208
COL,La Alameda,NA,2016,Mujeres,rural,0.7808
COL,La Alameda,NA,2016,Total,rural,0.7514
COL,La Alameda,NA,2017,Hombres,rural,0.7202
COL,La Alameda,NA,2017,Mujeres,rural,0.7802
COL,La Alameda,NA,2017,Total,rural,0.7508
COL,La Alameda,NA,2018,Hombres,rural,0.7226
COL,La Alameda,NA,2018,Mujeres,rural,0.7826
COL,La Alameda,NA,2018,Total,rural,0.7532
COL,La Alameda,NA,2019,Hombres,rural,0.721
COL,La Alameda,NA,2019,Mujeres,rural,0.781
COL,La Alameda,NA,2019,Total,rural,0.7516
COL,La Alameda,NA,2020,Hombres,rural,0.7814
COL,La Alameda,NA,2020,Mujeres,rural,0.8414
COL,La Alameda,NA,2020,Total,rural,0.812
COL,La Alameda,NA,2021,Hombres,rural,0.7662
COL,La Alameda,NA,2021,Mujeres,rural,0.8262
COL,La Alameda,NA,2021,Total,rural,0.7968
COL,La Alameda,NA,2022,Hombres,rural,0.7419
COL,La Alameda,NA,2022,Mujeres,rural,0.8019
COL,La Alameda,NA,2022,Total,rural,0.7724
COL,La Alameda,NA,2023,Hombres,rural,0.7167
COL,La Alameda,NA,2023,Mujeres,rural,0.7767
COL,La Alameda,NA,2023,Total,rural,0.7473
COL,La Alameda,NA,2024,Hombres,rural,0.7191
COL,La Alameda,NA,2024,Mujeres,rural,0.7791
COL,La Alameda,NA,2024,Total,rural,0.7497
COL,La Alameda,NA,2025,Hombres,rural,0.7166
COL,La Alameda,NA,2025,Mujeres,rural,0.7766
COL,La Alameda,NA,2025,Total,rural,0.7472
COL,La Arboleda,NA,2016,Hombres,periurbano,0.4845
COL,La Arboleda,NA,2016,Mujeres,periurbano,0.5445
COL,La Arboleda,NA,2016,Total,periurbano,0.5151
COL,La Arboleda,NA,2017,Hombres,periurbano,0.4838
COL,La Arboleda,NA,2017,Mujeres,periurbano,0.5438
COL,La Arboleda,NA,2017,Total,periurbano,0.5144
COL,La Arboleda,NA,2018,Hombres,periurbano,0.4862
COL,La Arboleda,NA,2018,Mujeres,periurbano,0.5462
COL,La Arboleda,NA,2018,Total,periurbano,0.5168
COL,La Arboleda,NA,2019,Hombres,periurbano,0.4847
COL,La Arboleda,NA,2019,Mujeres,periurbano,0.5447
COL,La Arboleda,NA,2019,Total,periurbano,0.5153
COL,La Arboleda,NA,2020,Hombres,periurbano,0.5451
COL,La Arboleda,NA,2020,Mujeres,periurbano,0.6051
COL,La Arboleda,NA,2020,Total,periurbano,0.5757
COL,La Arboleda,NA,2021,Hombres,periurbano,0.5299
COL,La Arboleda,NA,2021,Mujeres,periurbano,0.5899
COL,La Arboleda,NA,2021,Total,periurbano,0.5605
COL,La Arboleda,NA,2022,Hombres,periurbano,0.5055
COL,La Arboleda,NA,2022,Mujeres,periurbano,0.5655
COL,La Arboleda,NA,2022,Total,periurbano,0.5361
COL,La Arboleda,NA,2023,Hombres,periurbano,0.4733
COL,La Arboleda,NA,2023,Mujeres,periurbano,0.5333
COL,La Arboleda,NA,2023,Total,periurbano,0.5039
COL,La Arboleda,NA,2024,Hombres,periurbano,0.4758
COL,La Arboleda,NA,2024,Mujeres,periurbano,0.5358
COL,La Arboleda,NA,2024,Total,periurbano,0.5064
COL,La Arboleda,NA,2025,Hombres,periurbano,0.4732
COL,La Arboleda,NA,2025,Mujeres,periurbano,0.5332
COL,La Arboleda,NA,2025,Total,periurbano,0.5038
COL,La Cañada,NA,2016,Hombres,rural,0.8077
COL,La Cañada,NA,2016,Mujeres,rural,0.8677
COL,La Cañada,NA,2016,Total,rural,0.8383
COL,La Cañada,NA,2017,Hombres,rural,0.807
COL,La Cañada,NA,2017,Mujeres,rural,0.867
COL,La Cañada,NA,2017,Total,rural,0.8376
COL,La Cañada,NA,2018,Hombres,rural,0.8094
COL,La Cañada,NA,2018,Mujeres,rural,0.8694
COL,La Cañada,NA,2018,Total,rural,0.84
COL,La Cañada,NA,2019,Hombres,rural,0.8078
COL,La Cañada,NA,2019,Mujeres,rural,0.8678
COL,La Cañada,NA,2019,Total,rural,0.8384
COL,La Cañada,NA,2020,Hombres,rural,0.8683
COL,La Cañada,NA,2020,Mujeres,rural,0.9283
COL,La Cañada,NA,2020,Total,rural,0.8989
COL,La Cañada,NA,2021,Hombres,rural,0.8531
COL,La Cañada,NA,2021,Mujeres,rural,0.9131
COL,La Cañada,NA,2021,Total,rural,0.8837
COL,La Cañada,NA,2022,Hombres,rural,0.8287
COL,La Cañada,NA,2022,Mujeres,rural,0.8887
COL,La Cañada,NA,2022,Total,rural,0.8593
COL,La Cañada,NA,2023,Hombres,rural,0.8035
COL,La Cañada,NA,2023,Mujeres,rural,0.8635
COL,La Cañada,NA,2023,Total,rural,0.8341
COL,La Cañada,NA,2024,Hombres,rural,0.806
COL,La Cañada,NA,2024,Mujeres,rural,0.866
COL,La Cañada,NA,2024,Total,rural,0.8366
COL,La Cañada,NA,2025,Hombres,rural,0.8034
COL,La Cañada,NA,2025,Mujeres,rural,0.8634
COL,La Cañada,NA,2025,Total,rural,0.834
COL,La Esperanza,NA,2016,Hombres,urbano,0.243
COL,La Esperanza,NA,2016,Mujeres,urbano,0.303
COL,La Esperanza,NA,2016,Total,urbano,0.2736
COL,La Esperanza,NA,2017,Hombres,urbano,0.2423
COL,La Esperanza,NA,2017,Mujeres,urbano,0.3023
COL,La Esperanza,NA,2017,Total,urbano,0.2729
COL,La Esperanza,NA,2018,Hombres,urbano,0.2447
COL,La Esperanza,NA,2018,Mujeres,urbano,0.3047
COL,La Esperanza,NA,2018,Total,urbano,0.2753
COL,La Esperanza,NA,2019,Hombres,urbano,0.2432
COL,La Esperanza,NA,2019,Mujeres,urbano,0.3032
COL,La Esperanza,NA,2019,Total,urbano,0.2738
COL,La Esperanza,NA,2020,Hombres,urbano,0.3036
COL,La Esperanza,NA,2020,Mujeres,urbano,0.3636
COL,La Esperanza,NA,2020,Total,urbano,0.3342
COL,La Esperanza,NA,2021,Hombres,urbano,0.2884
COL,La Esperanza,NA,2021,Mujeres,urbano,0.3484
COL,La Esperanza,NA,2021,Total,urbano,0.319
COL,La Esperanza,NA,2022,Hombres,urbano,0.264
COL,La Esperanza,NA,2022,Mujeres,urbano,0.324
COL,La Esperanza,NA,2022,Total,urbano,0.2946
COL,La Esperanza,NA,2023,Hombres,urbano,0.2238
COL,La Esperanza,NA,2023,Mujeres,urbano,0.2838
COL,La Esperanza,NA,2023,Total,urbano,0.2544
COL,La Esperanza,NA,2024,Hombres,urbano,0.2263
COL,La Esperanza,NA,2024,Mujeres,urbano,0.2863
COL,La Esperanza,NA,2024,Total,urbano,0.2569
COL,La Esperanza,NA,2025,Hombres,urbano,0.2237
COL,La Esperanza,NA,2025,Mujeres,urbano,0.2837
COL,La Esperanza,NA,2025,Total,urbano,0.2543
COL,La Primavera,NA,2016,Hombres,periurbano,0.7409
COL,La Primavera,NA,2016,Mujeres,periurbano,0.8009
COL,La Primavera,NA,2016,Total,periurbano,0.7715
COL,La Primavera,NA,2017,Hombres,periurbano,0.7402
COL,La Primavera,NA,2017,Mujeres,periurbano,0.8002
COL,La Primavera,NA,2017,Total,periurbano,0.7709
COL,La Primavera,NA,2018,Hombres,periurbano,0.7426
COL,La Primavera,NA,2018,Mujeres,periurbano,0.8026
COL,La Primavera,NA,2018,Total,periurbano,0.7732
COL,La Primavera,NA,2019,Hombres,periurbano,0.7411
COL,La Primavera,NA,2019,Mujeres,periurbano,0.8011
COL,La Primavera,NA,2019,Total,periurbano,0.7717
COL,La Primavera,NA,2020,Hombres,periurbano,0.8015
COL,La Primavera,NA,2020,Mujeres,periurbano,0.8615
COL,La Primavera,NA,2020,Total,periurbano,0.8321
COL,La Primavera,NA,2021,Hombres,periurbano,0.7863
COL,La Primavera,NA,2021,Mujeres,periurbano,0.8463
COL,La Primavera,NA,2021,Total,periurbano,0.8169
COL,La Primavera,NA,2022,Hombres,periurbano,0.7619
COL,La Primavera,NA,2022,Mujeres,periurbano,0.8219
COL,La Primavera,NA,2022,Total,periurbano,0.7925
COL,La Primavera,NA,2023,Hombres,periurbano,0.7297
COL,La Primavera,NA,2023,Mujeres,periurbano,0.7897
COL,La Primavera,NA,2023,Total,periurbano,0.7603
COL,La Primavera,NA,2024,Hombres,periurbano,0.7322
COL,La Primavera,NA,2024,Mujeres,periurbano,0.7922
COL,La Primavera,NA,2024,Total,periurbano,0.7628
COL,La Primavera,NA,2025,Hombres,periurbano,0.7297
COL,La Primavera,NA,2025,Mujeres,periurbano,0.7897
COL,La Primavera,NA,2025,Total,periurbano,0.7603
COL,La Rivera,NA,2016,Hombres,urbano,0.3316
COL,La Rivera,NA,2016,Mujeres,urbano,0.3916
COL,La Rivera,NA,2016,Total,urbano,0.3622
COL,La Rivera,NA,2017,Hombres,urbano,0.3309
COL,La Rivera,NA,2017,Mujeres,urbano,0.3909
COL,La Rivera,NA,2017,Total,urbano,0.3615
COL,La Rivera,NA,2018,Hombres,urbano,0.3333
COL,La Rivera,NA,2018,Mujeres,urbano,0.3933
COL,La Rivera,NA,2018,Total,urbano,0.3639
COL,La Rivera,NA,2019,Hombres,urbano,0.3318
COL,La Rivera,NA,2019,Mujeres,urbano,0.3918
COL,La Rivera,NA,2019,Total,urbano,0.3624
COL,La Rivera,NA,2020,Hombres,urbano,0.3922
COL,La Rivera,NA,2020,Mujeres,urbano,0.4522
COL,La Rivera,NA,2020,Total,urbano,0.4228
COL,La Rivera,NA,2021,Hombres,urbano,0.377
COL,La Rivera,NA,2021,Mujeres,urbano,0.437
COL,La Rivera,NA,2021,Total,urbano,0.4076
COL,La Rivera,NA,2022,Hombres,urbano,0.3526
COL,La Rivera,NA,2022,Mujeres,urbano,0.4126
COL,La Rivera,NA,2022,Total,urbano,0.3832
COL,La Rivera,NA,2023,Hombres,urbano,0.3124
COL,La Rivera,NA,2023,Mujeres,urbano,0.3724
COL,La Rivera,NA,2023,Total,urbano,0.343
COL,La Rivera,NA,2024,Hombres,urbano,0.3149
COL,La Rivera,NA,2024,Mujeres,urbano,0.3749
COL,La Rivera,NA,2024,Total,urbano,0.3455
COL,La Rivera,NA,2025,Hombres,urbano,0.3123
COL,La Rivera,NA,2025,Mujeres,urbano,0.3723
COL,La Rivera,NA,2025,Total,urbano,0.3429
COL,Las Brisas,NA,2016,Hombres,rural,0.6276
COL,Las Brisas,NA,2016,Mujeres,rural,0.6876
COL,Las Brisas,NA,2016,Total,rural,0.6582
COL,Las Brisas,NA,2017,Hombres,rural,0.6269
COL,Las Brisas,NA,2017,Mujeres,rural,0.6869
COL,Las Brisas,NA,2017,Total,rural,0.6575
COL,Las Brisas,NA,2018,Hombres,rural,0.6293
COL,Las Brisas,NA,2018,Mujeres,rural,0.6893
COL,Las Brisas,NA,2018,Total,rural,0.6599
COL,Las Brisas,NA,2019,Hombres,rural,0.6278
COL,Las Brisas,NA,2019,Mujeres,rural,0.6878
COL,Las Brisas,NA,2019,Total,rural,0.6584
COL,Las Brisas,NA,2020,Hombres,rural,0.6882
COL,Las Brisas,NA,2020,Mujeres,rural,0.7482
COL,Las Brisas,NA,2020,Total,rural,0.7187
COL,Las Brisas,NA,2021,Hombres,rural,0.673
COL,Las Brisas,NA,2021,Mujeres,rural,0.733
COL,Las Brisas,NA,2021,Total,rural,0.7036
COL,Las Brisas,NA,2022,Hombres,rural,0.6486
COL,Las Brisas,NA,2022,Mujeres,rural,0.7086
COL,Las Brisas,NA,2022,Total,rural,0.6792
COL,Las Brisas,NA,2023,Hombres,rural,0.6234
COL,Las Brisas,NA,2023,Mujeres,rural,0.6834
COL,Las Brisas,NA,2023,Total,rural,0.654
COL,Las Brisas,NA,2024,Hombres,rural,0.6259
COL,Las Brisas,NA,2024,Mujeres,rural,0.6859
COL,Las Brisas,NA,2024,Total,rural,0.6565
COL,Las Brisas,NA,2025,Hombres,rural,0.6233
COL,Las Brisas,NA,2025,Mujeres,rural,0.6833
COL,Las Brisas,NA,2025,Total,rural,0.6539
COL,Las Palmas,NA,2016,Hombres,periurbano,0.56
COL,Las Palmas,NA,2016,Mujeres,periurbano,0.62
COL,Las Palmas,NA,2016,Total,periurbano,0.5906
COL,Las Palmas,NA,2017,Hombres,periurbano,0.5594
COL,Las Palmas,NA,2017,Mujeres,periurbano,0.6194
COL,Las Palmas,NA,2017,Total,periurbano,0.59
COL,Las Palmas,NA,2018,Hombres,periurbano,0.5617
COL,Las Palmas,NA,2018,Mujeres,periurbano,0.6217
COL,Las Palmas,NA,2018,Total,periurbano,0.5923
COL,Las Palmas,NA,2019,Hombres,periurbano,0.5602
COL,Las Palmas,NA,2019,Mujeres,periurbano,0.6202
COL,Las Palmas,NA,2019,Total,periurbano,0.5908
COL,Las Palmas,NA,2020,Hombres,periurbano,0.6206
COL,Las Palmas,NA,2020,Mujeres,periurbano,0.6806
COL,Las Palmas,NA,2020,Total,periurbano,0.6512
COL,Las Palmas,NA,2021,Hombres,periurbano,0.6054
COL,Las Palmas,NA,2021,Mujeres,periurbano,0.6654
COL,Las Palmas,NA,2021,Total,periurbano,0.636
COL,Las Palmas,NA,2022,Hombres,periurbano,0.581
COL,Las Palmas,NA,2022,Mujeres,periurbano,0.641
COL,Las Palmas,NA,2022,Total,periurbano,0.6116
COL,Las Palmas,NA,2023,Hombres,periurbano,0.5489
COL,Las Palmas,NA,2023,Mujeres,periurbano,0.6089
COL,Las Palmas,NA,2023,Total,periurbano,0.5795
COL,Las Palmas,NA,2024,Hombres,periurbano,0.5513
COL,Las Palmas,NA,2024,Mujeres,periurbano,0.6113
COL,Las Palmas,NA,2024,Total,periurbano,0.5819
COL,Las Palmas,NA,2025,Hombres,periurbano,0.5488
COL,Las Palmas,NA,2025,Mujeres,periurbano,0.6088
COL,Las Palmas,NA,2025,Total,periurbano,0.5794
COL,Los Arrayanes,NA,2016,Hombres,rural,0.8337
COL,Los Arrayanes,NA,2016,Mujeres,rural,0.8937
COL,Los Arrayanes,NA,2016,Total,rural,0.8643
COL,Los Arrayanes,NA,2017,Hombres,rural,0.8331
COL,Los Arrayanes,NA,2017,Mujeres,rural,0.8931
COL,Los Arrayanes,NA,2017,Total,rural,0.8637
COL,Los Arrayanes,NA,2018,Hombres,rural,0.8354
COL,Los Arrayanes,NA,2018,Mujeres,rural,0.8954
COL,Los Arrayanes,NA,2018,Total,rural,0.866
COL,Los Arrayanes,NA,2019,Hombres,rural,0.8339
COL,Los Arrayanes,NA,2019,Mujeres,rural,0.8939
COL,Los Arrayanes,NA,2019,Total,rural,0.8645
COL,Los Arrayanes,NA,2020,Hombres,rural,0.8943
COL,Los Arrayanes,NA,2020,Mujeres,rural,0.95
COL,Los Arrayanes,NA,2020,Total,rural,0.9227
COL,Los Arrayanes,NA,2021,Hombres,rural,0.8791
COL,Los Arrayanes,NA,2021,Mujeres,rural,0.9391
COL,Los Arrayanes,NA,2021,Total,rural,0.9097
COL,Los Arrayanes,NA,2022,Hombres,rural,0.8547
COL,Los Arrayanes,NA,2022,Mujeres,rural,0.9147
COL,Los Arrayanes,NA,2022,Total,rural,0.8853
COL,Los Arrayanes,NA,2023,Hombres,rural,0.8296
