iso3,Territorio,cod_local,anio,sexo,zona,etnia,valor
COL,Altos del Sol,NA,2025,Mujeres,periurbano,Total,0.3337
COL,Bosques del Valle,NA,2016,Mujeres,periurbano,Indígena,0.3034
COL,Bosques del Valle,NA,2016,Mujeres,periurbano,No indígena,0.2434
COL,Bosques del Valle,NA,2016,Mujeres,periurbano,Total,0.2616
COL,Bosques del Valle,NA,2017,Mujeres,periurbano,Indígena,0.4476
COL,Bosques del Valle,NA,2017,Mujeres,periurbano,No indígena,0.3876
COL,Bosques del Valle,NA,2017,Mujeres,periurbano,Total,0.4058
COL,Bosques del Valle,NA,2018,Mujeres,periurbano,Indígena,0.4069
COL,Bosques del Valle,NA,2018,Mujeres,periurbano,No indígena,0.3469
COL,Bosques del Valle,NA,2018,Mujeres,periurbano,Total,0.3647
COL,Bosques del Valle,NA,2019,Mujeres,periurbano,Indígena,0.5023
COL,Bosques del Valle,NA,2019,Mujeres,periurbano,No indígena,0.4423
COL,Bosques del Valle,NA,2019,Mujeres,periurbano,Total,0.4601
COL,Bosques del Valle,NA,2020,Mujeres,periurbano,Indígena,0.5755
COL,Bosques del Valle,NA,2020,Mujeres,periurbano,No indígena,0.5155
COL,Bosques del Valle,NA,2020,Mujeres,periurbano,Total,0.5331
COL,Bosques del Valle,NA,2021,Mujeres,periurbano,Indígena,0.3696
COL,Bosques del Valle,NA,2021,Mujeres,periurbano,No indígena,0.3096
COL,Bosques del Valle,NA,2021,Mujeres,periurbano,Total,0.3277
COL,Bosques del Valle,NA,2022,Mujeres,periurbano,Indígena,0.4643
COL,Bosques del Valle,NA,2022,Mujeres,periurbano,No indígena,0.4043
COL,Bosques del Valle,NA,2022,Mujeres,periurbano,Total,0.4221
COL,Bosques del Valle,NA,2023,Mujeres,periurbano,Indígena,0.5082
COL,Bosques del Valle,NA,2023,Mujeres,periurbano,No indígena,0.4482
COL,Bosques del Valle,NA,2023,Mujeres,periurbano,Total,0.4663
COL,Bosques del Valle,NA,2024,Mujeres,periurbano,Indígena,0.4044
COL,Bosques del Valle,NA,2024,Mujeres,periurbano,No indígena,0.3444
COL,Bosques del Valle,NA,2024,Mujeres,periurbano,Total,0.3625
COL,Bosques del Valle,NA,2025,Mujeres,periurbano,Indígena,0.5469
COL,Bosques del Valle,NA,2025,Mujeres,periurbano,No indígena,0.4869
COL,Bosques del Valle,NA,2025,Mujeres,periurbano,Total,0.505
COL,Colinas del Valle,NA,2016,Mujeres,rural,Indígena,0.6991
COL,Colinas del Valle,NA,2016,Mujeres,rural,No indígena,0.6391
COL,Colinas del Valle,NA,2016,Mujeres,rural,Total,0.6658
COL,Colinas del Valle,NA,2017,Mujeres,rural,Indígena,0.7288
COL,Colinas del Valle,NA,2017,Mujeres,rural,No indígena,0.6688
COL,Colinas del Valle,NA,2017,Mujeres,rural,Total,0.6955
COL,Colinas del Valle,NA,2018,Mujeres,rural,Indígena,0.7387
COL,Colinas del Valle,NA,2018,Mujeres,rural,No indígena,0.6787
COL,Colinas del Valle,NA,2018,Mujeres,rural,Total,0.7054
COL,Colinas del Valle,NA,2019,Mujeres,rural,Indígena,0.6102
COL,Colinas del Valle,NA,2019,Mujeres,rural,No indígena,0.5502
COL,Colinas del Valle,NA,2019,Mujeres,rural,Total,0.5769
COL,Colinas del Valle,NA,2020,Mujeres,rural,Indígena,0.7211
COL,Colinas del Valle,NA,2020,Mujeres,rural,No indígena,0.6611
COL,Colinas del Valle,NA,2020,Mujeres,rural,Total,0.6875
COL,Colinas del Valle,NA,2021,Mujeres,rural,Indígena,0.79990000000000006
COL,Colinas del Valle,NA,2021,Mujeres,rural,No indígena,0.7399
COL,Colinas del Valle,NA,2021,Mujeres,rural,Total,0.7676
COL,Colinas del Valle,NA,2022,Mujeres,rural,Indígena,0.5772
COL,Colinas del Valle,NA,2022,Mujeres,rural,No indígena,0.5172
COL,Colinas del Valle,NA,2022,Mujeres,rural,Total,0.5439
COL,Colinas del Valle,NA,2023,Mujeres,rural,Indígena,0.5841
COL,Colinas del Valle,NA,2023,Mujeres,rural,No indígena,0.5241
COL,Colinas del Valle,NA,2023,Mujeres,rural,Total,0.5518
COL,Colinas del Valle,NA,2024,Mujeres,rural,Indígena,0.5944
COL,Colinas del Valle,NA,2024,Mujeres,rural,No indígena,0.5344
COL,Colinas del Valle,NA,2024,Mujeres,rural,Total,0.5621
COL,Colinas del Valle,NA,2025,Mujeres,rural,Indígena,0.6362
COL,Colinas del Valle,NA,2025,Mujeres,rural,No indígena,0.5762
COL,Colinas del Valle,NA,2025,Mujeres,rural,Total,0.6039
COL,El Carmen,NA,2016,Mujeres,periurbano,Indígena,0.6234
COL,El Carmen,NA,2016,Mujeres,periurbano,No indígena,0.5634
COL,El Carmen,NA,2016,Mujeres,periurbano,Total,0.5812
COL,El Carmen,NA,2017,Mujeres,periurbano,Indígena,0.6449
COL,El Carmen,NA,2017,Mujeres,periurbano,No indígena,0.5849
COL,El Carmen,NA,2017,Mujeres,periurbano,Total,0.6027
COL,El Carmen,NA,2018,Mujeres,periurbano,Indígena,0.6824
COL,El Carmen,NA,2018,Mujeres,periurbano,No indígena,0.6224
COL,El Carmen,NA,2018,Mujeres,periurbano,Total,0.6405
COL,El Carmen,NA,2019,Mujeres,periurbano,Indígena,0.5635
COL,El Carmen,NA,2019,Mujeres,periurbano,No indígena,0.5035
COL,El Carmen,NA,2019,Mujeres,periurbano,Total,0.5216
COL,El Carmen,NA,2020,Mujeres,periurbano,Indígena,0.6266
COL,El Carmen,NA,2020,Mujeres,periurbano,No indígena,0.5666
COL,El Carmen,NA,2020,Mujeres,periurbano,Total,0.5846
COL,El Carmen,NA,2021,Mujeres,periurbano,Indígena,0.5144
COL,El Carmen,NA,2021,Mujeres,periurbano,No indígena,0.4544
COL,El Carmen,NA,2021,Mujeres,periurbano,Total,0.4721
COL,El Carmen,NA,2022,Mujeres,periurbano,Indígena,0.5472
COL,El Carmen,NA,2022,Mujeres,periurbano,No indígena,0.4872
COL,El Carmen,NA,2022,Mujeres,periurbano,Total,0.5053
COL,El Carmen,NA,2023,Mujeres,periurbano,Indígena,0.5361
COL,El Carmen,NA,2023,Mujeres,periurbano,No indígena,0.4761
COL,El Carmen,NA,2023,Mujeres,periurbano,Total,0.4946
COL,El Carmen,NA,2024,Mujeres,periurbano,Indígena,0.6303
COL,El Carmen,NA,2024,Mujeres,periurbano,No indígena,0.5703
COL,El Carmen,NA,2024,Mujeres,periurbano,Total,0.5888
COL,El Carmen,NA,2025,Mujeres,periurbano,Indígena,0.4869
COL,El Carmen,NA,2025,Mujeres,periurbano,No indígena,0.4269
COL,El Carmen,NA,2025,Mujeres,periurbano,Total,0.4446
COL,El Edén,NA,2016,Mujeres,periurbano,Indígena,0.5119
COL,El Edén,NA,2016,Mujeres,periurbano,No indígena,0.4519
COL,El Edén,NA,2016,Mujeres,periurbano,Total,0.47
COL,El Edén,NA,2017,Mujeres,periurbano,Indígena,0.4618
COL,El Edén,NA,2017,Mujeres,periurbano,No indígena,0.4018
COL,El Edén,NA,2017,Mujeres,periurbano,Total,0.4197
COL,El Edén,NA,2018,Mujeres,periurbano,Indígena,0.4419
COL,El Edén,NA,2018,Mujeres,periurbano,No indígena,0.3819
COL,El Edén,NA,2018,Mujeres,periurbano,Total,0.3997
COL,El Edén,NA,2019,Mujeres,periurbano,Indígena,0.5619
COL,El Edén,NA,2019,Mujeres,periurbano,No indígena,0.5019
COL,El Edén,NA,2019,Mujeres,periurbano,Total,0.5198
COL,El Edén,NA,2020,Mujeres,periurbano,Indígena,0.5335
COL,El Edén,NA,2020,Mujeres,periurbano,No indígena,0.4735
COL,El Edén,NA,2020,Mujeres,periurbano,Total,0.4918
COL,El Edén,NA,2021,Mujeres,periurbano,Indígena,0.5647
COL,El Edén,NA,2021,Mujeres,periurbano,No indígena,0.5047
COL,El Edén,NA,2021,Mujeres,periurbano,Total,0.5224
COL,El Edén,NA,2022,Mujeres,periurbano,Indígena,0.5691
COL,El Edén,NA,2022,Mujeres,periurbano,No indígena,0.5091
COL,El Edén,NA,2022,Mujeres,periurbano,Total,0.5271
COL,El Edén,NA,2023,Mujeres,periurbano,Indígena,0.6887
COL,El Edén,NA,2023,Mujeres,periurbano,No indígena,0.6287
COL,El Edén,NA,2023,Mujeres,periurbano,Total,0.6468
COL,El Edén,NA,2024,Mujeres,periurbano,Indígena,0.6043
COL,El Edén,NA,2024,Mujeres,periurbano,No indígena,0.5443
COL,El Edén,NA,2024,Mujeres,periurbano,Total,0.5627
COL,El Edén,NA,2025,Mujeres,periurbano,Indígena,0.568
COL,El Edén,NA,2025,Mujeres,periurbano,No indígena,0.508
COL,El Edén,NA,2025,Mujeres,periurbano,Total,0.5257
COL,El Mirador,NA,2016,Mujeres,rural,Indígena,0.5816
COL,El Mirador,NA,2016,Mujeres,rural,No indígena,0.5216
COL,El Mirador,NA,2016,Mujeres,rural,Total,0.5483
COL,El Mirador,NA,2017,Mujeres,rural,Indígena,0.5418
COL,El Mirador,NA,2017,Mujeres,rural,No indígena,0.4818
COL,El Mirador,NA,2017,Mujeres,rural,Total,0.5085
COL,El Mirador,NA,2018,Mujeres,rural,Indígena,0.8101
COL,El Mirador,NA,2018,Mujeres,rural,No indígena,0.7501
COL,El Mirador,NA,2018,Mujeres,rural,Total,0.7767
COL,El Mirador,NA,2019,Mujeres,rural,Indígena,0.5636
COL,El Mirador,NA,2019,Mujeres,rural,No indígena,0.5036
COL,El Mirador,NA,2019,Mujeres,rural,Total,0.5303
COL,El Mirador,NA,2020,Mujeres,rural,Indígena,0.5659
COL,El Mirador,NA,2020,Mujeres,rural,No indígena,0.5059
COL,El Mirador,NA,2020,Mujeres,rural,Total,0.5323
COL,El Mirador,NA,2021,Mujeres,rural,Indígena,0.6331
COL,El Mirador,NA,2021,Mujeres,rural,No indígena,0.5731
COL,El Mirador,NA,2021,Mujeres,rural,Total,0.6008
COL,El Mirador,NA,2022,Mujeres,rural,Indígena,0.6022
COL,El Mirador,NA,2022,Mujeres,rural,No indígena,0.5422
COL,El Mirador,NA,2022,Mujeres,rural,Total,0.5699
COL,El Mirador,NA,2023,Mujeres,rural,Indígena,0.5526
COL,El Mirador,NA,2023,Mujeres,rural,No indígena,0.4926
COL,El Mirador,NA,2023,Mujeres,rural,Total,0.5203
COL,El Mirador,NA,2024,Mujeres,rural,Indígena,0.5275
COL,El Mirador,NA,2024,Mujeres,rural,No indígena,0.4675
COL,El Mirador,NA,2024,Mujeres,rural,Total,0.4952
COL,El Mirador,NA,2025,Mujeres,rural,Indígena,0.7011
COL,El Mirador,NA,2025,Mujeres,rural,No indígena,0.6411
COL,El Mirador,NA,2025,Mujeres,rural,Total,0.6688
COL,El Porvenir,NA,2016,Mujeres,rural,Indígena,0.7362
COL,El Porvenir,NA,2016,Mujeres,rural,No indígena,0.6762
COL,El Porvenir,NA,2016,Mujeres,rural,Total,0.7025
COL,El Porvenir,NA,2017,Mujeres,rural,Indígena,0.7399
COL,El Porvenir,NA,2017,Mujeres,rural,No indígena,0.6799
COL,El Porvenir,NA,2017,Mujeres,rural,Total,0.7062
COL,El Porvenir,NA,2018,Mujeres,rural,Indígena,0.5875
COL,El Porvenir,NA,2018,Mujeres,rural,No indígena,0.5275
COL,El Porvenir,NA,2018,Mujeres,rural,Total,0.5537
COL,El Porvenir,NA,2019,Mujeres,rural,Indígena,0.5334
COL,El Porvenir,NA,2019,Mujeres,rural,No indígena,0.4734
COL,El Porvenir,NA,2019,Mujeres,rural,Total,0.5005
COL,El Porvenir,NA,2020,Mujeres,rural,Indígena,0.7535
COL,El Porvenir,NA,2020,Mujeres,rural,No indígena,0.6935
COL,El Porvenir,NA,2020,Mujeres,rural,Total,0.7204
COL,El Porvenir,NA,2021,Mujeres,rural,Indígena,0.6769
COL,El Porvenir,NA,2021,Mujeres,rural,No indígena,0.6169
COL,El Porvenir,NA,2021,Mujeres,rural,Total,0.644
COL,El Porvenir,NA,2022,Mujeres,rural,Indígena,0.6669
COL,El Porvenir,NA,2022,Mujeres,rural,No indígena,0.6069
COL,El Porvenir,NA,2022,Mujeres,rural,Total,0.634
COL,El Porvenir,NA,2023,Mujeres,rural,Indígena,0.73
COL,El Porvenir,NA,2023,Mujeres,rural,No indígena,0.67
COL,El Porvenir,NA,2023,Mujeres,rural,Total,0.6971
COL,El Porvenir,NA,2024,Mujeres,rural,Indígena,0.8576
COL,El Porvenir,NA,2024,Mujeres,rural,No indígena,0.7976
COL,El Porvenir,NA,2024,Mujeres,rural,Total,0.8247
COL,El Porvenir,NA,2025,Mujeres,rural,Indígena,0.738
COL,El Porvenir,NA,2025,Mujeres,rural,No indígena,0.678
COL,El Porvenir,NA,2025,Mujeres,rural,Total,0.7051
COL,La Alameda,NA,2016,Mujeres,rural,Indígena,0.6893
COL,La Alameda,NA,2016,Mujeres,rural,No indígena,0.6293
COL,La Alameda,NA,2016,Mujeres,rural,Total,0.6557
COL,La Alameda,NA,2017,Mujeres,rural,Indígena,0.6336
COL,La Alameda,NA,2017,Mujeres,rural,No indígena,0.5736
COL,La Alameda,NA,2017,Mujeres,rural,Total,0.6
COL,La Alameda,NA,2018,Mujeres,rural,Indígena,0.5121
COL,La Alameda,NA,2018,Mujeres,rural,No indígena,0.4521
COL,La Alameda,NA,2018,Mujeres,rural,Total,0.4785
COL,La Alameda,NA,2019,Mujeres,rural,Indígena,0.7561
COL,La Alameda,NA,2019,Mujeres,rural,No indígena,0.6961
COL,La Alameda,NA,2019,Mujeres,rural,Total,0.7225
COL,La Alameda,NA,2020,Mujeres,rural,Indígena,0.9
COL,La Alameda,NA,2020,Mujeres,rural,No indígena,0.9
COL,La Alameda,NA,2020,Mujeres,rural,Total,0.9
COL,La Alameda,NA,2021,Mujeres,rural,Indígena,0.8136
COL,La Alameda,NA,2021,Mujeres,rural,No indígena,0.7536
COL,La Alameda,NA,2021,Mujeres,rural,Total,0.7811
COL,La Alameda,NA,2022,Mujeres,rural,Indígena,0.795
COL,La Alameda,NA,2022,Mujeres,rural,No indígena,0.735
COL,La Alameda,NA,2022,Mujeres,rural,Total,0.7614
COL,La Alameda,NA,2023,Mujeres,rural,Indígena,0.5184
COL,La Alameda,NA,2023,Mujeres,rural,No indígena,0.4584
COL,La Alameda,NA,2023,Mujeres,rural,Total,0.4859
COL,La Alameda,NA,2024,Mujeres,rural,Indígena,0.7372
COL,La Alameda,NA,2024,Mujeres,rural,No indígena,0.6772
COL,La Alameda,NA,2024,Mujeres,rural,Total,0.7047
COL,La Alameda,NA,2025,Mujeres,rural,Indígena,0.6263
COL,La Alameda,NA,2025,Mujeres,rural,No indígena,0.5663
COL,La Alameda,NA,2025,Mujeres,rural,Total,0.5938
COL,La Arboleda,NA,2016,Mujeres,periurbano,Indígena,0.1932
COL,La Arboleda,NA,2016,Mujeres,periurbano,No indígena,0.1332
COL,La Arboleda,NA,2016,Mujeres,periurbano,Total,0.1516
COL,La Arboleda,NA,2017,Mujeres,periurbano,Indígena,0.44
COL,La Arboleda,NA,2017,Mujeres,periurbano,No indígena,0.38
COL,La Arboleda,NA,2017,Mujeres,periurbano,Total,0.3984
COL,La Arboleda,NA,2018,Mujeres,periurbano,Indígena,0.3736
COL,La Arboleda,NA,2018,Mujeres,periurbano,No indígena,0.3136
COL,La Arboleda,NA,2018,Mujeres,periurbano,Total,0.3311
COL,La Arboleda,NA,2019,Mujeres,periurbano,Indígena,0.3747
COL,La Arboleda,NA,2019,Mujeres,periurbano,No indígena,0.3147
COL,La Arboleda,NA,2019,Mujeres,periurbano,Total,0.3322
COL,La Arboleda,NA,2020,Mujeres,periurbano,Indígena,0.4586
COL,La Arboleda,NA,2020,Mujeres,periurbano,No indígena,0.3986
COL,La Arboleda,NA,2020,Mujeres,periurbano,Total,0.4164
COL,La Arboleda,NA,2021,Mujeres,periurbano,Indígena,0.479
COL,La Arboleda,NA,2021,Mujeres,periurbano,No indígena,0.419
COL,La Arboleda,NA,2021,Mujeres,periurbano,Total,0.4373
COL,La Arboleda,NA,2022,Mujeres,periurbano,Indígena,0.4758
COL,La Arboleda,NA,2022,Mujeres,periurbano,No indígena,0.4158
COL,La Arboleda,NA,2022,Mujeres,periurbano,Total,0.4336
COL,La Arboleda,NA,2023,Mujeres,periurbano,Indígena,0.4922
COL,La Arboleda,NA,2023,Mujeres,periurbano,No indígena,0.4322
COL,La Arboleda,NA,2023,Mujeres,periurbano,Total,0.4501
COL,La Arboleda,NA,2024,Mujeres,periurbano,Indígena,0.3455
COL,La Arboleda,NA,2024,Mujeres,periurbano,No indígena,0.2855
COL,La Arboleda,NA,2024,Mujeres,periurbano,Total,0.3033
COL,La Arboleda,NA,2025,Mujeres,periurbano,Indígena,0.4628
COL,La Arboleda,NA,2025,Mujeres,periurbano,No indígena,0.4028
COL,La Arboleda,NA,2025,Mujeres,periurbano,Total,0.4207
COL,La Cañada,NA,2016,Mujeres,rural,Indígena,0.6804
COL,La Cañada,NA,2016,Mujeres,rural,No indígena,0.6204
COL,La Cañada,NA,2016,Mujeres,rural,Total,0.6476
COL,La Cañada,NA,2017,Mujeres,rural,Indígena,0.6176
COL,La Cañada,NA,2017,Mujeres,rural,No indígena,0.5576
COL,La Cañada,NA,2017,Mujeres,rural,Total,0.5849
COL,La Cañada,NA,2018,Mujeres,rural,Indígena,0.7831
COL,La Cañada,NA,2018,Mujeres,rural,No indígena,0.7231
COL,La Cañada,NA,2018,Mujeres,rural,Total,0.7503
COL,La Cañada,NA,2019,Mujeres,rural,Indígena,0.6142
COL,La Cañada,NA,2019,Mujeres,rural,No indígena,0.5542
COL,La Cañada,NA,2019,Mujeres,rural,Total,0.5815
COL,La Cañada,NA,2020,Mujeres,rural,Indígena,0.6054
COL,La Cañada,NA,2020,Mujeres,rural,No indígena,0.5454
COL,La Cañada,NA,2020,Mujeres,rural,Total,0.5724
COL,La Cañada,NA,2021,Mujeres,rural,Indígena,0.7935
COL,La Cañada,NA,2021,Mujeres,rural,No indígena,0.7335
COL,La Cañada,NA,2021,Mujeres,rural,Total,0.7592
COL,La Cañada,NA,2022,Mujeres,rural,Indígena,0.6071
COL,La Cañada,NA,2022,Mujeres,rural,No indígena,0.5471
COL,La Cañada,NA,2022,Mujeres,rural,Total,0.5743
COL,La Cañada,NA,2023,Mujeres,rural,Indígena,0.5549
COL,La Cañada,NA,2023,Mujeres,rural,No indígena,0.4949
COL,La Cañada,NA,2023,Mujeres,rural,Total,0.5222
COL,La Cañada,NA,2024,Mujeres,rural,Indígena,0.5002
COL,La Cañada,NA,2024,Mujeres,rural,No indígena,0.4402
COL,La Cañada,NA,2024,Mujeres,rural,Total,0.4675
COL,La Cañada,NA,2025,Mujeres,rural,Indígena,0.4335
COL,La Cañada,NA,2025,Mujeres,rural,No indígena,0.3735
COL,La Cañada,NA,2025,Mujeres,rural,Total,0.4007
COL,La Esperanza,NA,2016,Mujeres,urbano,Indígena,0.1211
COL,La Esperanza,NA,2016,Mujeres,urbano,No indígena,0.0611
COL,La Esperanza,NA,2016,Mujeres,urbano,Total,0.0699
COL,La Esperanza,NA,2017,Mujeres,urbano,Indígena,0.1267
COL,La Esperanza,NA,2017,Mujeres,urbano,No indígena,0.0667
COL,La Esperanza,NA,2017,Mujeres,urbano,Total,0.0756
COL,La Esperanza,NA,2018,Mujeres,urbano,Indígena,0.1199
COL,La Esperanza,NA,2018,Mujeres,urbano,No indígena,0.0599
COL,La Esperanza,NA,2018,Mujeres,urbano,Total,0.0689
COL,La Esperanza,NA,2019,Mujeres,urbano,Indígena,0.1402
COL,La Esperanza,NA,2019,Mujeres,urbano,No indígena,0.0802
COL,La Esperanza,NA,2019,Mujeres,urbano,Total,0.0892
COL,La Esperanza,NA,2020,Mujeres,urbano,Indígena,0.1525
COL,La Esperanza,NA,2020,Mujeres,urbano,No indígena,0.0925
COL,La Esperanza,NA,2020,Mujeres,urbano,Total,0.1014
COL,La Esperanza,NA,2021,Mujeres,urbano,Indígena,0.1283
COL,La Esperanza,NA,2021,Mujeres,urbano,No indígena,0.0683
COL,La Esperanza,NA,2021,Mujeres,urbano,Total,0.0776
COL,La Esperanza,NA,2022,Mujeres,urbano,Indígena,0.0543
COL,La Esperanza,NA,2022,Mujeres,urbano,No indígena,0.02
COL,La Esperanza,NA,2022,Mujeres,urbano,Total,0.0252
COL,La Esperanza,NA,2023,Mujeres,urbano,Indígena,0.0712
COL,La Esperanza,NA,2023,Mujeres,urbano,No indígena,0.02
COL,La Esperanza,NA,2023,Mujeres,urbano,Total,0.0278
COL,La Esperanza,NA,2024,Mujeres,urbano,Indígena,0.0755
COL,La Esperanza,NA,2024,Mujeres,urbano,No indígena,0.02
COL,La Esperanza,NA,2024,Mujeres,urbano,Total,0.0285
COL,La Esperanza,NA,2025,Mujeres,urbano,Indígena,0.1056
COL,La Esperanza,NA,2025,Mujeres,urbano,No indígena,0.0456
COL,La Esperanza,NA,2025,Mujeres,urbano,Total,0.0548
COL,La Primavera,NA,2016,Mujeres,periurbano,Indígena,0.5592
COL,La Primavera,NA,2016,Mujeres,periurbano,No indígena,0.4992
COL,La Primavera,NA,2016,Mujeres,periurbano,Total,0.5171
COL,La Primavera,NA,2017,Mujeres,periurbano,Indígena,0.5273
COL,La Primavera,NA,2017,Mujeres,periurbano,No indígena,0.4673
COL,La Primavera,NA,2017,Mujeres,periurbano,Total,0.4853
COL,La Primavera,NA,2018,Mujeres,periurbano,Indígena,0.5287
COL,La Primavera,NA,2018,Mujeres,periurbano,No indígena,0.4687
COL,La Primavera,NA,2018,Mujeres,periurbano,Total,0.4869
COL,La Primavera,NA,2019,Mujeres,periurbano,Indígena,0.429
COL,La Primavera,NA,2019,Mujeres,periurbano,No indígena,0.369
COL,La Primavera,NA,2019,Mujeres,periurbano,Total,0.3871
COL,La Primavera,NA,2020,Mujeres,periurbano,Indígena,0.4725
COL,La Primavera,NA,2020,Mujeres,periurbano,No indígena,0.4125
COL,La Primavera,NA,2020,Mujeres,periurbano,Total,0.4302
COL,La Primavera,NA,2021,Mujeres,periurbano,Indígena,0.5513
COL,La Primavera,NA,2021,Mujeres,periurbano,No indígena,0.4913
COL,La Primavera,NA,2021,Mujeres,periurbano,Total,0.5094
COL,La Primavera,NA,2022,Mujeres,periurbano,Indígena,0.5042
COL,La Primavera,NA,2022,Mujeres,periurbano,No indígena,0.4442
COL,La Primavera,NA,2022,Mujeres,periurbano,Total,0.462
COL,La Primavera,NA,2023,Mujeres,periurbano,Indígena,0.3999
COL,La Primavera,NA,2023,Mujeres,periurbano,No indígena,0.3399
COL,La Primavera,NA,2023,Mujeres,periurbano,Total,0.3577
COL,La Primavera,NA,2024,Mujeres,periurbano,Indígena,0.4979
COL,La Primavera,NA,2024,Mujeres,periurbano,No indígena,0.4379
COL,La Primavera,NA,2024,Mujeres,periurbano,Total,0.4558
COL,La Primavera,NA,2025,Mujeres,periurbano,Indígena,0.4551
COL,La Primavera,NA,2025,Mujeres,periurbano,No indígena,0.3951
COL,La Primavera,NA,2025,Mujeres,periurbano,Total,0.4132
COL,La Rivera,NA,2016,Mujeres,urbano,Indígena,0.0458
COL,La Rivera,NA,2016,Mujeres,urbano,No indígena,0.02
COL,La Rivera,NA,2016,Mujeres,urbano,Total,0.0239
COL,La Rivera,NA,2017,Mujeres,urbano,Indígena,0.039
COL,La Rivera,NA,2017,Mujeres,urbano,No indígena,0.02
COL,La Rivera,NA,2017,Mujeres,urbano,Total,0.0229
COL,La Rivera,NA,2018,Mujeres,urbano,Indígena,0.02
COL,La Rivera,NA,2018,Mujeres,urbano,No indígena,0.02
COL,La Rivera,NA,2018,Mujeres,urbano,Total,0.02
COL,La Rivera,NA,2019,Mujeres,urbano,Indígena,0.1117
COL,La Rivera,NA,2019,Mujeres,urbano,No indígena,0.0517
COL,La Rivera,NA,2019,Mujeres,urbano,Total,0.0609
COL,La Rivera,NA,2020,Mujeres,urbano,Indígena,0.1014
COL,La Rivera,NA,2020,Mujeres,urbano,No indígena,0.0414
COL,La Rivera,NA,2020,Mujeres,urbano,Total,0.0506
COL,La Rivera,NA,2021,Mujeres,urbano,Indígena,0.0902
COL,La Rivera,NA,2021,Mujeres,urbano,No indígena,0.0302
COL,La Rivera,NA,2021,Mujeres,urbano,Total,0.0392
COL,La Rivera,NA,2022,Mujeres,urbano,Indígena,0.1074
COL,La Rivera,NA,2022,Mujeres,urbano,No indígena,0.0474
COL,La Rivera,NA,2022,Mujeres,urbano,Total,0.0563
COL,La Rivera,NA,2023,Mujeres,urbano,Indígena,0.056
COL,La Rivera,NA,2023,Mujeres,urbano,No indígena,0.02
COL,La Rivera,NA,2023,Mujeres,urbano,Total,0.0254
COL,La Rivera,NA,2024,Mujeres,urbano,Indígena,0.0333
COL,La Rivera,NA,2024,Mujeres,urbano,No indígena,0.02
COL,La Rivera,NA,2024,Mujeres,urbano,Total,0.022
COL,La Rivera,NA,2025,Mujeres,urbano,Indígena,0.02
COL,La Rivera,NA,2025,Mujeres,urbano,No indígena,0.02
COL,La Rivera,NA,2025,Mujeres,urbano,Total,0.02
COL,Las Brisas,NA,2016,Mujeres,rural,Indígena,0.7253
COL,Las Brisas,NA,2016,Mujeres,rural,No indígena,0.6653
COL,Las Brisas,NA,2016,Mujeres,rural,Total,0.6924
COL,Las Brisas,NA,2017,Mujeres,rural,Indígena,0.8003
COL,Las Brisas,NA,2017,Mujeres,rural,No indígena,0.7403
COL,Las Brisas,NA,2017,Mujeres,rural,Total,0.7674
COL,Las Brisas,NA,2018,Mujeres,rural,Indígena,0.6845
