iso3,NAME_2,cod_local,anio,zona,valor
COL,El Edén,NA,2024,periurbano,0.2634
COL,El Edén,NA,2025,periurbano,0.2634
COL,El Mirador,NA,2016,rural,NA
COL,El Mirador,NA,2017,rural,NA
COL,El Mirador,NA,2018,rural,NA
COL,El Mirador,NA,2019,rural,0.1214
COL,El Mirador,NA,2020,rural,0.1014
COL,El Mirador,NA,2021,rural,0.1214
COL,El Mirador,NA,2022,rural,0.1814
COL,El Mirador,NA,2023,rural,0.2414
COL,El Mirador,NA,2024,rural,0.2414
COL,El Mirador,NA,2025,rural,0.2414
COL,El Porvenir,NA,2016,rural,NA
COL,El Porvenir,NA,2017,rural,NA
COL,El Porvenir,NA,2018,rural,NA
COL,El Porvenir,NA,2019,rural,0.0706
COL,El Porvenir,NA,2020,rural,0.0506
COL,El Porvenir,NA,2021,rural,0.0706
COL,El Porvenir,NA,2022,rural,0.1306
COL,El Porvenir,NA,2023,rural,0.1906
COL,El Porvenir,NA,2024,rural,0.1906
COL,El Porvenir,NA,2025,rural,0.1906
COL,La Alameda,NA,2016,rural,NA
COL,La Alameda,NA,2017,rural,NA
COL,La Alameda,NA,2018,rural,NA
COL,La Alameda,NA,2019,rural,0.0675
COL,La Alameda,NA,2020,rural,0.0475
COL,La Alameda,NA,2021,rural,0.0675
COL,La Alameda,NA,2022,rural,0.1275
COL,La Alameda,NA,2023,rural,0.1875
COL,La Alameda,NA,2024,rural,0.1875
COL,La Alameda,NA,2025,rural,0.1875
COL,La Arboleda,NA,2016,periurbano,NA
COL,La Arboleda,NA,2017,periurbano,NA
COL,La Arboleda,NA,2018,periurbano,NA
COL,La Arboleda,NA,2019,periurbano,0.1305
COL,La Arboleda,NA,2020,periurbano,0.0905
COL,La Arboleda,NA,2021,periurbano,0.1105
COL,La Arboleda,NA,2022,periurbano,0.1905
COL,La Arboleda,NA,2023,periurbano,0.2505
COL,La Arboleda,NA,2024,periurbano,0.2505
COL,La Arboleda,NA,2025,periurbano,0.2505
COL,La Cañada,NA,2016,rural,NA
COL,La Cañada,NA,2017,rural,NA
COL,La Cañada,NA,2018,rural,NA
COL,La Cañada,NA,2019,rural,0.01
COL,La Cañada,NA,2020,rural,0.01
COL,La Cañada,NA,2021,rural,0.01
COL,La Cañada,NA,2022,rural,0.0386
COL,La Cañada,NA,2023,rural,0.0986
COL,La Cañada,NA,2024,rural,0.0986
COL,La Cañada,NA,2025,rural,0.0986
COL,La Esperanza,NA,2016,urbano,NA
COL,La Esperanza,NA,2017,urbano,NA
COL,La Esperanza,NA,2018,urbano,NA
COL,La Esperanza,NA,2019,urbano,0.3215
COL,La Esperanza,NA,2020,urbano,0.2615
COL,La Esperanza,NA,2021,urbano,0.2815
COL,La Esperanza,NA,2022,urbano,0.3615
COL,La Esperanza,NA,2023,urbano,0.4215
COL,La Esperanza,NA,2024,urbano,0.4215
COL,La Esperanza,NA,2025,urbano,0.4215
COL,La Primavera,NA,2016,periurbano,NA
COL,La Primavera,NA,2017,periurbano,NA
COL,La Primavera,NA,2018,periurbano,NA
COL,La Primavera,NA,2019,periurbano,0.0994
COL,La Primavera,NA,2020,periurbano,0.0594
COL,La Primavera,NA,2021,periurbano,0.0794
COL,La Primavera,NA,2022,periurbano,0.1594
COL,La Primavera,NA,2023,periurbano,0.2194
COL,La Primavera,NA,2024,periurbano,0.2194
COL,La Primavera,NA,2025,periurbano,0.2194
COL,La Rivera,NA,2016,urbano,NA
COL,La Rivera,NA,2017,urbano,NA
COL,La Rivera,NA,2018,urbano,NA
COL,La Rivera,NA,2019,urbano,0.359
COL,La Rivera,NA,2020,urbano,0.299
COL,La Rivera,NA,2021,urbano,0.319
COL,La Rivera,NA,2022,urbano,0.399
COL,La Rivera,NA,2023,urbano,0.459
COL,La Rivera,NA,2024,urbano,0.459
COL,La Rivera,NA,2025,urbano,0.459
COL,Las Brisas,NA,2016,rural,NA
COL,Las Brisas,NA,2017,rural,NA
COL,Las Brisas,NA,2018,rural,NA
COL,Las Brisas,NA,2019,rural,0.0794
COL,Las Brisas,NA,2020,rural,0.0594
COL,Las Brisas,NA,2021,rural,0.0794
COL,Las Brisas,NA,2022,rural,0.1394
COL,Las Brisas,NA,2023,rural,0.1994
COL,Las Brisas,NA,2024,rural,0.1994
COL,Las Brisas,NA,2025,rural,0.1994
COL,Las Palmas,NA,2016,periurbano,NA
COL,Las Palmas,NA,2017,periurbano,NA
COL,Las Palmas,NA,2018,periurbano,NA
COL,Las Palmas,NA,2019,periurbano,0.1212
COL,Las Palmas,NA,2020,periurbano,0.0812
COL,Las Palmas,NA,2021,periurbano,0.1012
COL,Las Palmas,NA,2022,periurbano,0.1812
COL,Las Palmas,NA,2023,periurbano,0.2412
COL,Las Palmas,NA,2024,periurbano,0.2412
COL,Las Palmas,NA,2025,periurbano,0.2412
COL,Los Arrayanes,NA,2016,rural,NA
COL,Los Arrayanes,NA,2017,rural,NA
COL,Los Arrayanes,NA,2018,rural,NA
COL,Los Arrayanes,NA,2019,rural,0.0752
COL,Los Arrayanes,NA,2020,rural,0.0552
COL,Los Arrayanes,NA,2021,rural,0.0752
COL,Los Arrayanes,NA,2022,rural,0.1352
COL,Los Arrayanes,NA,2023,rural,0.1952
COL,Los Arrayanes,NA,2024,rural,0.1952
COL,Los Arrayanes,NA,2025,rural,0.1952
COL,Los Pinos,NA,2016,rural,NA
COL,Los Pinos,NA,2017,rural,NA
COL,Los Pinos,NA,2018,rural,NA
COL,Los Pinos,NA,2019,rural,0.0452
COL,Los Pinos,NA,2020,rural,0.0252
COL,Los Pinos,NA,2021,rural,0.0452
COL,Los Pinos,NA,2022,rural,0.1052
COL,Los Pinos,NA,2023,rural,0.1652
COL,Los Pinos,NA,2024,rural,0.1652
COL,Los Pinos,NA,2025,rural,0.1652
COL,Los Álamos,NA,2016,rural,NA
COL,Los Álamos,NA,2017,rural,NA
COL,Los Álamos,NA,2018,rural,NA
COL,Los Álamos,NA,2019,rural,0.0146
COL,Los Álamos,NA,2020,rural,0.01
COL,Los Álamos,NA,2021,rural,0.0146
COL,Los Álamos,NA,2022,rural,0.0746
COL,Los Álamos,NA,2023,rural,0.1346
COL,Los Álamos,NA,2024,rural,0.1346
COL,Los Álamos,NA,2025,rural,0.1346
COL,Nueva Esperanza,NA,2016,periurbano,NA
COL,Nueva Esperanza,NA,2017,periurbano,NA
COL,Nueva Esperanza,NA,2018,periurbano,NA
COL,Nueva Esperanza,NA,2019,periurbano,0.1738
COL,Nueva Esperanza,NA,2020,periurbano,0.1338
COL,Nueva Esperanza,NA,2021,periurbano,0.1538
COL,Nueva Esperanza,NA,2022,periurbano,0.2338
COL,Nueva Esperanza,NA,2023,periurbano,0.5138
COL,Nueva Esperanza,NA,2024,periurbano,0.5138
COL,Nueva Esperanza,NA,2025,periurbano,0.5138
COL,Nueva Vida,NA,2016,periurbano,NA
COL,Nueva Vida,NA,2017,periurbano,NA
COL,Nueva Vida,NA,2018,periurbano,NA
COL,Nueva Vida,NA,2019,periurbano,0.1533
COL,Nueva Vida,NA,2020,periurbano,0.1133
COL,Nueva Vida,NA,2021,periurbano,0.1333
COL,Nueva Vida,NA,2022,periurbano,0.2133
COL,Nueva Vida,NA,2023,periurbano,0.2733
COL,Nueva Vida,NA,2024,periurbano,0.2733
COL,Nueva Vida,NA,2025,periurbano,0.2733
COL,Plaza del Valle,NA,2016,rural,NA
COL,Plaza del Valle,NA,2017,rural,NA
COL,Plaza del Valle,NA,2018,rural,NA
COL,Plaza del Valle,NA,2019,rural,0.0683
COL,Plaza del Valle,NA,2020,rural,0.0483
COL,Plaza del Valle,NA,2021,rural,0.0683
COL,Plaza del Valle,NA,2022,rural,0.1283
COL,Plaza del Valle,NA,2023,rural,0.1883
COL,Plaza del Valle,NA,2024,rural,0.1883
COL,Plaza del Valle,NA,2025,rural,0.1883
COL,San Isidro,NA,2016,rural,NA
COL,San Isidro,NA,2017,rural,NA
COL,San Isidro,NA,2018,rural,NA
COL,San Isidro,NA,2019,rural,0.01
COL,San Isidro,NA,2020,rural,0.01
COL,San Isidro,NA,2021,rural,0.01
COL,San Isidro,NA,2022,rural,0.0492
COL,San Isidro,NA,2023,rural,0.1092
COL,San Isidro,NA,2024,rural,0.1092
COL,San Isidro,NA,2025,rural,0.1092
COL,San Joaquín,NA,2016,periurbano,NA
COL,San Joaquín,NA,2017,periurbano,NA
COL,San Joaquín,NA,2018,periurbano,NA
COL,San Joaquín,NA,2019,periurbano,0.16
COL,San Joaquín,NA,2020,periurbano,0.12
COL,San Joaquín,NA,2021,periurbano,0.14
COL,San Joaquín,NA,2022,periurbano,0.22
COL,San Joaquín,NA,2023,periurbano,0.28
COL,San Joaquín,NA,2024,periurbano,0.28
COL,San Joaquín,NA,2025,periurbano,0.28
COL,San Martín del Valle,NA,2016,Total,NA
COL,San Martín del Valle,NA,2016,periurbano,NA
COL,San Martín del Valle,NA,2016,rural,NA
COL,San Martín del Valle,NA,2016,urbano,NA
COL,San Martín del Valle,NA,2017,Total,NA
COL,San Martín del Valle,NA,2017,periurbano,NA
COL,San Martín del Valle,NA,2017,rural,NA
COL,San Martín del Valle,NA,2017,urbano,NA
COL,San Martín del Valle,NA,2018,Total,NA
COL,San Martín del Valle,NA,2018,periurbano,NA
COL,San Martín del Valle,NA,2018,rural,NA
COL,San Martín del Valle,NA,2018,urbano,NA
COL,San Martín del Valle,NA,2019,Total,0.1536
COL,San Martín del Valle,NA,2019,periurbano,0.1532
COL,San Martín del Valle,NA,2019,rural,0.0578
COL,San Martín del Valle,NA,2019,urbano,0.3325
COL,San Martín del Valle,NA,2020,Total,0.1178
COL,San Martín del Valle,NA,2020,periurbano,0.1131
COL,San Martín del Valle,NA,2020,rural,0.0435
COL,San Martín del Valle,NA,2020,urbano,0.2726
COL,San Martín del Valle,NA,2021,Total,0.1362
COL,San Martín del Valle,NA,2021,periurbano,0.1332
COL,San Martín del Valle,NA,2021,rural,0.0577
COL,San Martín del Valle,NA,2021,urbano,0.2926
COL,San Martín del Valle,NA,2022,Total,0.2092
COL,San Martín del Valle,NA,2022,periurbano,0.2132
COL,San Martín del Valle,NA,2022,rural,0.1125
COL,San Martín del Valle,NA,2022,urbano,0.3726
COL,San Martín del Valle,NA,2023,Total,0.2786
COL,San Martín del Valle,NA,2023,periurbano,0.2901
COL,San Martín del Valle,NA,2023,rural,0.1725
COL,San Martín del Valle,NA,2023,urbano,0.4326
COL,San Martín del Valle,NA,2024,Total,0.2785
COL,San Martín del Valle,NA,2024,periurbano,0.29
COL,San Martín del Valle,NA,2024,rural,0.1725
COL,San Martín del Valle,NA,2024,urbano,0.4326
COL,San Martín del Valle,NA,2025,Total,0.2786
COL,San Martín del Valle,NA,2025,periurbano,0.29
COL,San Martín del Valle,NA,2025,rural,0.1728
COL,San Martín del Valle,NA,2025,urbano,0.4325
COL,San Rafael,NA,2016,urbano,NA
COL,San Rafael,NA,2017,urbano,NA
COL,San Rafael,NA,2018,urbano,NA
COL,San Rafael,NA,2019,urbano,0.3123
COL,San Rafael,NA,2020,urbano,0.2523
COL,San Rafael,NA,2021,urbano,0.2723
COL,San Rafael,NA,2022,urbano,0.3523
COL,San Rafael,NA,2023,urbano,0.4123
COL,San Rafael,NA,2024,urbano,0.4123
COL,San Rafael,NA,2025,urbano,0.4123
COL,Santa Ana,NA,2016,rural,NA
COL,Santa Ana,NA,2017,rural,NA
COL,Santa Ana,NA,2018,rural,NA
COL,Santa Ana,NA,2019,rural,0.1149
COL,Santa Ana,NA,2020,rural,0.0949
COL,Santa Ana,NA,2021,rural,0.1149
COL,Santa Ana,NA,2022,rural,0.1749
COL,Santa Ana,NA,2023,rural,0.2349
COL,Santa Ana,NA,2024,rural,0.2349
COL,Santa Ana,NA,2025,rural,0.2349
COL,Santa Elena,NA,2016,periurbano,NA
COL,Santa Elena,NA,2017,periurbano,NA
COL,Santa Elena,NA,2018,periurbano,NA
COL,Santa Elena,NA,2019,periurbano,0.1536
COL,Santa Elena,NA,2020,periurbano,0.1136
COL,Santa Elena,NA,2021,periurbano,0.1336
COL,Santa Elena,NA,2022,periurbano,0.2136
COL,Santa Elena,NA,2023,periurbano,0.2736
COL,Santa Elena,NA,2024,periurbano,0.2736
COL,Santa Elena,NA,2025,periurbano,0.2736
COL,Santa Lucía,NA,2016,rural,NA
COL,Santa Lucía,NA,2017,rural,NA
COL,Santa Lucía,NA,2018,rural,NA
COL,Santa Lucía,NA,2019,rural,0.01
COL,Santa Lucía,NA,2020,rural,0.01
COL,Santa Lucía,NA,2021,rural,0.01
COL,Santa Lucía,NA,2022,rural,0.0372
COL,Santa Lucía,NA,2023,rural,0.0972
COL,Santa Lucía,NA,2024,rural,0.0972
COL,Santa Lucía,NA,2025,rural,0.0972
COL,Santa Rosa,NA,2016,periurbano,NA
COL,Santa Rosa,NA,2017,periurbano,NA
COL,Santa Rosa,NA,2018,periurbano,NA
COL,Santa Rosa,NA,2019,periurbano,0.2292
COL,Santa Rosa,NA,2020,periurbano,0.1892
COL,Santa Rosa,NA,2021,periurbano,0.2092
COL,Santa Rosa,NA,2022,periurbano,0.2892
COL,Santa Rosa,NA,2023,periurbano,0.3492
COL,Santa Rosa,NA,2024,periurbano,0.3492
COL,Santa Rosa,NA,2025,periurbano,0.3492
COL,Villa Esperanza,NA,2016,rural,NA
COL,Villa Esperanza,NA,2017,rural,NA
COL,Villa Esperanza,NA,2018,rural,NA
COL,Villa Esperanza,NA,2019,rural,0.0749
COL,Villa Esperanza,NA,2020,rural,0.0549
COL,Villa Esperanza,NA,2021,rural,0.0749
COL,Villa Esperanza,NA,2022,rural,0.1349
COL,Villa Esperanza,NA,2023,rural,0.1949
COL,Villa Esperanza,NA,2024,rural,0.1949
COL,Villa Esperanza,NA,2025,rural,0.1949
COL,Villa Norte,NA,2016,periurbano,NA
COL,Villa Norte,NA,2017,periurbano,NA
COL,Villa Norte,NA,2018,periurbano,NA
COL,Villa Norte,NA,2019,periurbano,0.1874
COL,Villa Norte,NA,2020,periurbano,0.1474
COL,Villa Norte,NA,2021,periurbano,0.1674
COL,Villa Norte,NA,2022,periurbano,0.2474
COL,Villa Norte,NA,2023,periurbano,0.3074
COL,Villa Norte,NA,2024,periurbano,0.3074
COL,Villa Norte,NA,2025,periurbano,0.3074
COL,Villa Sur,NA,2016,rural,NA
COL,Villa Sur,NA,2017,rural,NA
COL,Villa Sur,NA,2018,rural,NA
COL,Villa Sur,NA,2019,rural,0.0885
COL,Villa Sur,NA,2020,rural,0.0685
COL,Villa Sur,NA,2021,rural,0.0885
COL,Villa Sur,NA,2022,rural,0.1485
COL,Villa Sur,NA,2023,rural,0.2085
COL,Villa Sur,NA,2024,rural,0.2085
COL,Villa Sur,NA,2025,rural,0.2085
COL,Vista Hermosa,NA,2016,rural,NA
COL,Vista Hermosa,NA,2017,rural,NA
COL,Vista Hermosa,NA,2018,rural,NA
COL,Vista Hermosa,NA,2019,rural,0.0619
COL,Vista Hermosa,NA,2020,rural,0.0419
COL,Vista Hermosa,NA,2021,rural,0.0619
COL,Vista Hermosa,NA,2022,rural,0.1219
COL,Vista Hermosa,NA,2023,rural,0.1819
COL,Vista Hermosa,NA,2024,rural,0.1819
COL,Vista Hermosa,NA,2025,rural,0.1819
